Unnamed: 0,ul_total_num_pkts,ul_total_num_bytes,ul_min_pkt_size,ul_max_pkt_size,ul_mean_pkt_size,ul_std_pkt_size,ul_min_iat,ul_max_iat,ul_mean_iat,ul_std_iat,ul_dur,dl_total_num_pkts,dl_total_num_bytes,dl_min_pkt_size,dl_max_pkt_size,dl_mean_pkt_size,dl_std_pkt_size,dl_min_iat,dl_max_iat,dl_mean_iat,dl_std_iat,dl_dur,ip_A,port_A,ip_B,port_B,protocal,action,app
0,1.0,69.0,69.0,69.0,69.0,206.5868462645341,0.8814638376540587,21.455888546961326,2.515924283224501,4.820720390722171,0.0,1.0,126.0,126.0,126.0,126.0,354.37226486840325,1.1230312008547008,21.12472385897436,2.7870865706397736,4.7843152750592335,0.0,177283012,34074.0,2152970536,53.0,0,0,0
1,1.0,61.0,61.0,61.0,61.0,206.5868462645341,0.8814638376540587,21.455888546961326,2.515924283224501,4.820720390722171,0.0,1.0,107.0,107.0,107.0,107.0,354.37226486840325,1.1230312008547008,21.12472385897436,2.7870865706397736,4.7843152750592335,0.0,177283012,34312.0,2152970536,53.0,0,0,0
2,30.0,5781.0,52.0,433.0,192.7,173.05632927878793,0.042452,18.547804,4.608082103448275,6.168199213842066,133.634381,30.0,1980.0,52.0,94.0,66.0,20.13745866238613,0.000466,18.643559,4.606167482758621,6.236205525269448,133.578857,177283012,34901.0,2726105733,443.0,1,0,0
3,1.0,61.0,61.0,61.0,61.0,206.5868462645341,0.8814638376540587,21.455888546961326,2.515924283224501,4.820720390722171,0.0,1.0,107.0,107.0,107.0,107.0,354.37226486840325,1.1230312008547008,21.12472385897436,2.7870865706397736,4.7843152750592335,0.0,177283012,34910.0,2152970536,53.0,0,0,0
4,14.0,2706.0,52.0,1290.0,193.28571428571428,336.2310168668214,0.000311,0.085856,0.021305923076923,0.0279182814402484,0.276977,11.0,6628.0,52.0,1290.0,602.5454545454545,569.8833852002291,0.000318,0.085947,0.0192622,0.0315131400910794,0.192622,177283012,36467.0,387418943,443.0,1,0,0
5,4.0,239.0,52.0,83.0,59.75,15.5,0.000354,53.707365,19.61292166666667,29.637886222825077,58.838765,4.0,215.0,40.0,83.0,53.75,20.303940504246956,0.000751,53.798216,19.63009633333333,29.69972692539866,58.890289,177283012,36543.0,921907159,443.0,1,0,0
6,1.0,61.0,61.0,61.0,61.0,206.5868462645341,0.8814638376540587,21.455888546961326,2.515924283224501,4.820720390722171,0.0,1.0,107.0,107.0,107.0,107.0,354.37226486840325,1.1230312008547008,21.12472385897436,2.7870865706397736,4.7843152750592335,0.0,177283012,37002.0,2152970536,53.0,0,0,0
7,15436.0,810520.0,52.0,628.0,52.50842187095103,10.550128400868651,2.2e-05,20.045132,0.0057142134758665,0.2137715444481898,88.198885,188196.0,240911728.0,52.0,1290.0,1280.1107781249336,90.31258876394809,1.9e-05,20.122617,0.0004686080979834,0.0614633683977056,88.18970099999999,177283012,38218.0,2726103048,443.0,1,0,0
8,5032.0,262541.0,52.0,610.0,52.17428457869634,8.433779280995045,2.3e-05,0.836158,0.0021876201550387,0.0133172003903524,11.005917,53499.0,68545204.0,52.0,1290.0,1281.242714817099,84.02250331751947,1.9e-05,0.779235,0.0002052188493027,0.0040559108300159,10.978798,177283012,38227.0,2726103048,443.0,1,0,0
9,1.0,69.0,69.0,69.0,69.0,206.5868462645341,0.8814638376540587,21.455888546961326,2.515924283224501,4.820720390722171,0.0,1.0,126.0,126.0,126.0,126.0,354.37226486840325,1.1230312008547008,21.12472385897436,2.7870865706397736,4.7843152750592335,0.0,177283012,41627.0,2152970536,53.0,0,0,0
